tag,year,cik,start,end,val,accn,url
Revenues,2019,883241,2018-11-01,2019-10-31,3360694000,0000883241-21-000022,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,895126,2019-01-01,2019-12-31,8532000000,0000895126-22-000029,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,896159,2019-01-01,2019-12-31,34186000000,0000896159-22-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,896878,2018-08-01,2019-07-31,6784000000,0000896878-21-000233,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,898293,2018-09-01,2019-08-31,25282320000,0001193125-19-271646,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,899051,2019-01-01,2019-12-31,41541000000,0000899051-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,906107,2019-01-01,2019-12-31,2701075000,0001564590-20-005562,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,906163,2019-01-01,2019-12-31,7388664000,0000906163-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,909832,2018-09-03,2019-09-01,152703000000,0000909832-21-000014,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,910606,2019-01-01,2019-12-31,1133138000,0000950170-22-001418,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,912595,2019-01-01,2019-12-31,1641017000,0000950170-22-001423,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,915913,2019-01-01,2019-12-31,3589427000,0000915913-22-000027,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,916365,2018-12-30,2019-12-28,8351931000,0000916365-22-000049,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,920148,2019-01-01,2019-12-31,11554800000,0000920148-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,920522,2019-01-01,2019-12-31,1460155000,0000920522-22-000019,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,920760,2018-12-01,2019-11-30,22259561000,0001628280-22-001450,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,922224,2019-01-01,2019-12-31,5602000000,0000922224-22-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,927066,2019-01-01,2019-12-31,11388479000,0000927066-22-000012,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,927628,2019-01-01,2019-12-31,28593000000,0000927628-22-000106,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,935703,2019-02-03,2020-02-01,23610800000,0000935703-22-000020,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,936395,2018-11-04,2019-11-02,3572131000,0000936395-21-000054,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,936468,2019-01-01,2019-12-31,59812000000,0000936468-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,943819,2018-07-01,2019-06-30,2606572000,0000943819-20-000013,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,947484,2019-01-01,2019-12-31,6925967000,0000947484-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1002910,2019-01-01,2019-12-31,5910000000,0001002910-22-000038,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1004980,2019-01-01,2019-12-31,17129000000,0001004980-22-000009,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1013237,2018-09-01,2019-08-31,1435351000,0001437749-19-020894,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
