case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
03-2020-0048,2020,"CUMMINS POWER GENERATION, INC",0000026172,subsidiary,1,94050.0,94050.0
06-2022-3317,2022,Diamond Green Diesel LLC,0001035002,subsidiary,1,93450.0,93450.0
04-2017-8006,2017,"MOSAIC CROP NUTRITION, LLC",0001285785,subsidiary,1,92400.0,92400.0
09-2021-5058,2021,"Analog Devices, Inc",0000006281,name,1,91479.0,91479.0
05-2024-7840,2024,"BUNGE NORTH AMERICA, INC.",0001996862,subsidiary,1,91418.0,91418.0
06-2019-0934,2019,"Chevron U.S.A, INC",0000093410,subsidiary,1,87500.0,87500.0
05-2024-5026,2024,CENTERPOINT ENERGY,0001130310,name,1,81500.0,81500.0
03-2021-0071,2021,UNION CARBIDE CORPORATION,0001751788,subsidiary,1,79000.0,79000.0
04-2022-0404,2023,Norfolk Southern Railway Company,0000702165,subsidiary,1,77640.0,77640.0
04-2025-0307,2025,"SYSCO NASHVILLE, LLC",0000096021,subsidiary,1,77278.0,77278.0
10-2020-0112,2020,Hytek Finishes,0001260221,subsidiary,1,75000.0,75000.0
04-2019-4001,2019,"PATHEON API MANUFACTURING, INC.",0000097745,subsidiary,1,72600.0,72600.0
06-2024-3364,2024,Diamondback E&P LLC,0001539838,subsidiary,1,72000.0,72000.0
02-2024-7101,2024,"AES Puerto Rico, L.P",0000874761,subsidiary,1,71845.0,71845.0
04-2015-2042,2016,"WESTROCK MILL COMPANY, LLC",0002005951,subsidiary,1,70455.0,70455.0
06-2017-3302,2016,Mosaic Fertilizer LLC,0001285785,subsidiary,1,70000.0,70000.0
04-2024-6201,2024,"CHEMICAL WASTE MANAGEMENT, INC",0000823768,subsidiary,1,68699.0,68699.0
05-2023-7805,2023,GENERAL MILLS OPERATIONS,0000040704,subsidiary,1,68090.0,68090.0
04-2020-0306,2020,"VULCAN CONSTRUCTION MATERIALS, LLC",0001396009,subsidiary,1,68000.0,68000.0
04-2016-1501,2016,"AIR PRODUCTS AND CHEMICALS, INC.",0000002969,name,1,67000.0,67000.0
04-2019-9008,2023,"MID-CONTINENT FRACTIONATION AND STORAGE, LLC",0000107263,subsidiary,9,596475.0,66275.0
04-2019-2009,2019,"HUBBELL LENOIR CITY, INC.",0000048898,subsidiary,1,65361.0,65361.0
05-2025-0307,2024,Caterpillar Inc.,0000018230,name,1,64044.3,64044.3
03-2022-0032,2022,"SUPERIOR CONCRETE MATERIALS, INC.",0001396009,subsidiary,1,64000.0,64000.0
10-2024-0104,2024,PARKER HANNIFIN,0000076334,name,1,63984.0,63984.0
03-2018-0156,2018,"TYSON POULTRY, INC.",0000100493,subsidiary,1,63000.0,63000.0
06-2019-3356,2019,International Paper Company,0000051434,name,1,62000.0,62000.0
06-2020-3324,2020,Baton Rouge Fractionators LLC,0000107263,subsidiary,3,185705.0,61901.666666666664
03-2023-0119,2023,"TASTEPOINT, INC.",0000051253,subsidiary,1,61840.0,61840.0
01-2018-2014,2018,Electric Boat,0000040533,subsidiary,1,60000.0,60000.0
03-2016-0088,2016,"PPG INDUSTRIES, INC",0000079879,name,1,59000.0,59000.0
06-2021-0921,2021,Targa Downstream LLC,0001389170,subsidiary,1,56476.0,56476.0
02-2017-9106,2017,Cycle Chem Inc.,0001060391,subsidiary,1,56250.0,56250.0
02-2017-9102,2017,Cycle Chem Inc.,0001060391,subsidiary,1,56250.0,56250.0
09-2023-0054,2023,"Ross Stores, Inc",0000745732,name,1,55000.0,55000.0
03-2017-0120,2017,POTOMAC ELECTRIC POWER COMPANY,0001109357,subsidiary,1,54000.0,54000.0
04-2022-3204,2023,GEORGIA POWER COMPANY,0000092122,subsidiary,1,52300.0,52300.0
03-2020-0047,2019,"SYSCO EASTERN MARYLAND, LLC",0000096021,subsidiary,1,52170.0,52170.0
04-2021-2404,2023,"WALMART, INC.",0000104169,name,1,51856.0,51856.0
06-2022-3323,2022,"Targa Midstream Services, LLC",0001389170,subsidiary,1,50220.0,50220.0
