ticker,year,co2e_tonnes,revenue_usd,raw_ratio
CAT,2021,471626.776,50971000000.0,9.252845264954582
CAT,2022,479805.40599999996,59427000000.0,8.073862150201087
CAT,2023,456901.738,67060000000.0,6.813327438115121
CB,2018,0.0,32717000000.0,0.0
CB,2019,0.0,34186000000.0,0.0
CB,2020,0.0,35994000000.0,0.0
CB,2021,0.0,40869000000.0,0.0
CB,2022,0.0,43097000000.0,0.0
CB,2023,0.0,49735000000.0,0.0
CBOE,2018,0.0,2768800000.0,0.0
CBOE,2019,0.0,2496100000.0,0.0
CBOE,2020,0.0,3427100000.0,0.0
CBOE,2021,0.0,3494800000.0,0.0
CBOE,2022,0.0,3958500000.0,0.0
CBOE,2023,0.0,3773500000.0,0.0
CBRE,2018,0.0,20778100000.0,0.0
CBRE,2019,0.0,23894091000.0,0.0
CBRE,2020,0.0,23826195000.0,0.0
CBRE,2021,0.0,27746000000.0,0.0
CBRE,2022,0.0,30828000000.0,0.0
CBRE,2023,0.0,31949000000.0,0.0
CCI,2018,0.0,574000000.0,0.0
CCI,2019,0.0,5763000000.0,0.0
CCI,2020,0.0,5840000000.0,0.0
CCI,2021,0.0,6340000000.0,0.0
CCI,2022,0.0,6986000000.0,0.0
CCI,2023,0.0,4734000000.0,0.0
CCL,2018,0.0,18881000000.0,0.0
CCL,2019,0.0,20825000000.0,0.0
CCL,2020,0.0,5595000000.0,0.0
CCL,2021,0.0,1908000000.0,0.0
CCL,2022,0.0,12168000000.0,0.0
CCL,2023,0.0,21593000000.0,0.0
CDNS,2018,0.0,2138022000.0,0.0
CDNS,2019,0.0,2336319000.0,0.0
CDNS,2020,0.0,2682891000.0,0.0
CDNS,2021,0.0,2988244000.0,0.0
CDNS,2022,0.0,3561718000.0,0.0
CDNS,2023,0.0,4089986000.0,0.0
CDW,2018,0.0,16240500000.0,0.0
CDW,2019,0.0,18032400000.0,0.0
CDW,2020,0.0,18467500000.0,0.0
CDW,2021,0.0,20820800000.0,0.0
CDW,2022,0.0,23748700000.0,0.0
CDW,2023,0.0,21376000000.0,0.0
CEG,2020,0.0,17603000000.0,0.0
CEG,2021,0.0,19649000000.0,0.0
CEG,2022,8247705.788000001,24440000000.0,337.4675036006547
CEG,2023,8941320.546,24918000000.0,358.82978352997833
CF,2018,19032392.101999998,4429000000.0,4297.221066154888
CF,2019,20066538.552,4590000000.0,4371.794891503268
CF,2020,19602923.076,4124000000.0,4753.376109602328
CF,2021,17961967.146,6538000000.0,2747.3183153869686
CF,2022,19793269.476,11186000000.0,1769.4680382621134
CF,2023,20579424.174000002,6631000000.0,3103.5174444276886
CFG,2018,0.0,1119000000.0,0.0
CFG,2019,0.0,6491000000.0,0.0
CFG,2020,0.0,6905000000.0,0.0
CFG,2021,0.0,6647000000.0,0.0
CFG,2022,0.0,8021000000.0,0.0
CFG,2023,0.0,8224000000.0,0.0
CHD,2018,0.0,4145900000.0,0.0
CHD,2019,0.0,4357700000.0,0.0
CHD,2020,0.0,4895800000.0,0.0
CHD,2021,0.0,5190100000.0,0.0
CHD,2022,0.0,5375600000.0,0.0
CHD,2023,0.0,5867900000.0,0.0
CHRW,2018,0.0,16631172000.0,0.0
CHRW,2019,0.0,15309508000.0,0.0
CHRW,2020,0.0,16207106000.0,0.0
CHRW,2021,0.0,23102138000.0,0.0
CHRW,2022,0.0,24696625000.0,0.0
CHRW,2023,0.0,17596443000.0,0.0
CHTR,2018,0.0,43634000000.0,0.0
CHTR,2019,0.0,45764000000.0,0.0
